Stage,ChangeList 1,ChangeList 2,ChangeList 3,Changelist Avg, ,Hashlite 1,Hashlite 2,Hashlite 3,Hashlite Avg, ,,
226,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
227,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
228,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
229,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
230,0.001,0.007,0.002,0.003333333, ,0,0,0,0, ,,
231,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
232,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
233,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
234,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
235,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
236,0.001,0.001,0.001,0.001, ,0.001,0,0.001,0.000666667, ,,
237,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
238,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
239,0.001,0.002,0.001,0.001333333, ,0.001,0.001,0,0.000666667, ,,
240,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
241,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
242,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
243,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
244,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
245,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
246,0.001,0.001,0.002,0.001333333, ,0,0,0,0, ,,
247,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
248,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
249,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
250,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
251,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
252,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
253,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
254,0.001,0.002,0.001,0.001333333, ,0,0.001,0,0.000333333, ,,
255,0.002,0.001,0.001,0.001333333, ,0,0,0,0, ,,
256,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
257,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
258,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
259,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
260,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
261,0.001,0.001,0.002,0.001333333, ,0,0,0,0, ,,
262,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
263,0.001,0.001,0.001,0.001, ,0.001,0.001,0,0.000666667, ,,
264,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
265,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
266,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
267,0.001,0.001,0.001,0.001, ,0,0.001,0.001,0.000666667, ,,
268,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
269,0.001,0.002,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
270,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
271,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
272,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
273,0.001,0.002,0.001,0.001333333, ,0,0,0.001,0.000333333, ,,
274,0.006,0.001,0.002,0.003, ,0,0.001,0,0.000333333, ,,
275,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
276,0.001,0.002,0.001,0.001333333, ,0,0,0.001,0.000333333, ,,
277,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
278,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
279,0.002,0.001,0.001,0.001333333, ,0.001,0.001,0,0.000666667, ,,
280,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
281,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
282,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
283,0.001,0.001,0.002,0.001333333, ,0.001,0,0,0.000333333, ,,
284,0.001,0.001,0.001,0.001, ,0,0.001,0,0.000333333, ,,
285,0.001,0.001,0.001,0.001, ,0,0,0.001,0.000333333, ,,
286,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
287,0.002,0.001,0.001,0.001333333, ,0.001,0,0,0.000333333, ,,
288,0.001,0.002,0.001,0.001333333, ,0,0.001,0.001,0.000666667, ,,
289,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
290,0.001,0.001,0.001,0.001, ,0.001,0,0,0.000333333, ,,
291,0.001,0.001,0.001,0.001, ,0,0,0,0, ,,
